,y_pred,event_predictor,event_obs,actual
73,0.3287295780831556,1,0,0
74,0.2603930153867311,1,0,0
75,0.4262340517978692,1,0,0
76,0.13692011093452505,0,0,1
77,0.1785746544050444,0,0,1
78,0.1110733490127428,0,0,1
79,0.22781453530145668,0,1,0
80,0.6086172007141789,1,1,1
81,0.3457529185146849,1,1,1
82,0.47692419074692094,1,0,0
83,0.2770869518435558,1,1,1
84,0.3529596739365265,1,0,0
85,0.2847224588331383,1,0,0
86,0.08464615222968841,0,0,1
87,0.02791952084527405,0,0,1
88,0.028036170253543102,0,0,1
89,0.13107024133625234,0,0,1
90,0.05353499679945595,0,0,1
91,0.4518979743431317,1,1,1
92,0.3126444158443731,1,0,0
93,0.20534569709787986,0,0,1
94,0.05487969846839602,0,0,1
95,0.3706902266298847,1,0,0
96,0.2606486533504342,1,0,0
97,0.12572030460342776,0,0,1
98,0.34327986033379476,1,0,0
99,0.26579253821069115,1,1,1
100,0.19660831463814665,0,0,1
101,0.17622380292534845,0,1,0
102,0.25522685017643154,1,1,1
103,0.415113195335691,1,0,0
104,0.07592485892521383,0,0,1
105,0.0342275080684703,0,0,1
106,0.2627360838486197,1,1,1
107,0.33064953554726173,1,1,1
108,0.1874905534228518,0,0,1
109,0.24803701407364298,0,1,0
110,0.31007938682902514,1,0,0
111,0.051520800585849735,0,0,1
112,0.19898108213864518,0,0,1
113,0.22671147030354732,0,1,0
114,0.1034892132016213,0,0,1
115,0.3002108310993262,1,0,0
116,0.49028378718420895,1,0,0
117,0.276440325208015,1,1,1
118,0.24164491075298067,0,0,1
119,0.03993197633389223,0,0,1
120,0.2501292781161001,1,0,0
121,0.18543545102472414,0,0,1
122,0.31401666704883324,1,1,1
123,0.15757075382263064,0,0,1
124,0.29669349144130497,1,1,1
125,0.11762845984458459,0,0,1
126,0.3263303784732883,1,0,0
127,0.10816734708641063,0,0,1
128,0.11428273789781407,0,0,1
129,0.25321131720477574,1,1,1
130,0.2841830396974101,1,1,1
131,0.19420132304093896,0,0,1
132,0.2487183317163708,0,0,1
133,0.08380432290276163,0,0,1
134,0.16593225884766605,0,1,0
135,0.3183627106549828,1,0,0
136,0.034303517839544106,0,0,1
137,0.17452353053427894,0,0,1
138,0.08531628913391565,0,0,1
139,0.01477097458059562,0,0,1
140,0.26283727156027803,1,0,0
141,0.4389221161387069,1,0,0
142,0.3423329125275504,1,0,0
143,0.24512781420535357,0,0,1
144,0.309062139809969,1,0,0
145,0.6065089379654789,1,1,1
146,0.09967769429002638,0,0,1
147,0.0647689305768796,0,0,1
148,0.09398587205361186,0,0,1
149,0.6596928650075105,1,0,0
150,0.029647608666404812,0,0,1
151,0.3035688494229549,1,0,0
152,0.3475199641818012,1,1,1
153,0.6162828123402215,1,1,1
154,0.5017199162639366,1,0,0
155,0.1421860618096843,0,1,0
156,0.08844623836978571,0,0,1
157,0.4654669066497501,1,0,0
