,Maintenance_flag,Speed_sensor,Vibration,Engine_Load,Coolant_Temp,Intake_Pressure,Engine_RPM,Speed_OBD,Intake_Air,Flow_Rate,Throttle_Pos,Voltage,Ambient,Accel,Engine_Oil_Temp,Speed_GPS,GPS_Longitude,GPS_Latitude,GPS_Bearing,GPS_Altitude,Turbo_Boost,Trip_Distance,Litres_Per_km,Accel_Ssor_Total,CO2,Trip_Time,CO_emission,HC_emission,PM_emission,NOx_emission,CO2_emission,Fuel_level,Oil_life,Vibration_alert,VibrationAlert_Total,Vibration_Recent,Turbo_alert,Emission_alert,Fog_control,Engine_control,fleetid,truckid
3335,1,93,245.962393,95.68628,90,133,1153.5,93,11,22.74,80.0,14.18,8,36.47059,86,95.29217,7.346982275,48.25680804,292.0,454,5.221359,0.2786042103681813,6.277267,-0.064981,166.03362,5835,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3336,0,38,249.021988,21.176472,88,112,1165.0,38,13,20.16,70.588234,14.22,8,33.72549,85,43.019997,8.954511359,48.96770075,94.5,154,2.175566,0.9795952983154876,0.0,0.017714,0.0,11224,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00713F1,Truck_0711X1
3337,1,6,250.802116,31.37255,85,104,730.5,6,12,9.22,62.7451,14.3,8,14.901961,82,11.736,8.311843075,48.86131152,303.9,334,1.015265,0.2025140912419108,5.813492,0.011926,,4680,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0601X1
3338,1,16,250.245826,22.745098,89,105,717.0,16,14,16.72,58.431374,14.2,7,14.901961,86,19.1201,9.534293771,48.05556773,270.4,392,1.160302,0.2402655471345765,0.0,-0.041256,0.0,5466,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00813F1,Truck_0391X1
3339,1,11,250.523971,22.352942,87,107,729.5,11,17,10.66,44.313725,14.32,6,14.901961,83,11.271681,8.418535727,48.21125667,21.4,156,1.450378,0.8743009534570945,5.290238,-0.008522,,9947,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3340,1,0,251.13589,25.882353,86,104,720.0,0,13,9.22,61.56863,14.26,7,14.901961,82,7.236806,8.361631075,48.83955552,254.1,323,1.015265,0.20646055444495828,,-0.039099,,4829,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0601X1
3341,1,106,245.239216,98.82353,88,158,1423.5,106,7,34.74,80.0,14.1,6,48.627453,85,108.03794,8.674873794,49.43027777,355.0,137,8.847302,0.8517396138305724,6.97572,0.020925,184.50768,9562,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00513F1,Truck_0051X1
3342,1,81,246.629941,0.392157,91,117,1248.5,81,10,22.77,80.0,14.24,7,14.901961,87,87.3366,7.232256275,48.24875604,263.9,443,2.900755,0.27089409325821495,0.0,-0.033953,0.0,5773,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3343,1,6,250.802116,28.62745,89,103,687.0,6,12,8.97,63.52941,14.34,7,14.901961,86,6.479999,9.479477771,48.06267173,291.0,370,0.870226,0.23645253756077123,10.416481,-0.057002,,5349,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00813F1,Truck_0391X1
3344,1,92,246.018022,99.60784,91,172,1467.0,92,12,38.94,80.0,14.24,8,45.09804,87,94.17699,8.935091615,48.67066248,261.6,448,10.87783,0.3095099556577998,10.98807,-0.030435,290.63425,6087,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01213F1,Truck_0651X1
3345,0,75,246.963715,28.62745,87,115,1173.0,75,8,20.63,80.0,14.24,6,14.901961,83,75.56486,8.813163359,49.16976875,356.6,146,2.61068,0.7763815848093264,1.865583,-0.181781,49.344643,9157,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00713F1,Truck_0501X1
3346,1,12,250.468342,16.470589,87,106,726.0,12,15,9.86,55.294117,14.26,6,14.901961,83,14.508179,8.412709727,48.20202267,26.7,143,1.30534,0.8733133852284287,3.080148,-0.004034,,9896,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3347,1,89,246.184909,83.92157,90,146,1402.5,89,11,28.74,80.0,14.18,8,36.07843,87,93.241356,8.716391615,48.70932648,294.2,525,7.10685,0.32499597847979195,8.024864,-0.028719,212.25752,6198,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01213F1,Truck_0651X1
3348,1,16,250.245826,23.137255,85,111,950.0,16,14,14.22,65.4902,14.3,7,25.490196,81,18.108036,8.228143075,48.83693352,29.0,125,2.030529,0.7584444958850279,6.515344,0.02523,172.33073,8920,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0281X1
3349,1,8,250.690858,36.47059,86,110,875.0,8,14,12.08,60.784313,14.4,8,25.882353,82,8.136,8.332021075,48.85051152,297.5,333,1.88549,0.20411684260426652,118.93759,-0.045201,,4767,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0601X1
3350,1,10,250.5796,28.62745,87,108,739.5,10,9,10.08,69.01961,14.32,5,14.901961,84,9.433717,8.388781727,48.16995267,34.4,157,1.595415,0.8698074270384785,7.803651,0.025431,,9757,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3351,1,11,250.523971,22.352942,85,107,740.5,11,11,10.02,65.09804,14.3,7,14.901961,81,2.7,8.237311075,48.84827952,24.3,116,1.450378,0.7572081591740727,6.12897,0.015665,,8866,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0281X1
3352,1,27,249.633907,76.86275,88,116,1628.0,27,16,31.3,61.960785,14.06,7,37.2549,83,15.947836,9.013281675,47.29388754,306.6,316,2.755716,0.21017951531711618,6.233669,-0.027745,164.88043,5003,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00613F1,Truck_0581X1
3353,1,21,249.967681,36.07843,88,111,942.5,21,7,14.16,72.54902,14.26,6,28.62745,83,23.401358,8.363965727,48.14008467,27.2,150,2.030529,0.8663692475984459,5.922136,-0.020806,156.6404,9673,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3354,1,15,250.301455,26.27451,85,109,928.0,15,12,13.47,69.803925,14.16,8,14.901961,82,16.416039,8.307385075,48.86365152,312.9,335,1.740453,0.20226805210525511,5.746929,-0.01207,152.00615,4668,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0601X1
3355,1,98,245.684248,70.19608,88,119,1226.0,98,9,21.44,80.0,14.08,7,14.901961,85,85.69035,7.740654763,48.47446834,7.5,142,3.19083,0.9027880436238135,3.815784,0.08647,100.92742,10344,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0641X1
3356,1,11,250.523971,21.176472,85,107,728.0,11,12,9.99,63.52941,14.36,7,14.901961,81,13.752047,8.236003075,48.84615552,24.3,116,1.450378,0.757369418011964,4.532962,0.068066,,8875,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0281X1
3357,0,22,249.912052,15.294118,88,108,725.0,22,7,10.63,68.62745,14.32,6,14.901961,83,24.912415,8.363407727,48.13946667,25.9,148,1.595415,0.8663065295102251,1.82804,-0.020289,48.35164,9671,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3358,1,76,246.908086,45.882355,89,111,1205.5,76,10,18.44,80.0,14.2,8,14.901961,86,85.71933,7.270758275,48.24714204,269.1,425,2.030529,0.27323695217839594,2.767953,0.001331,73.21232,5793,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3359,1,11,250.523971,37.64706,87,102,728.0,11,18,6.02,36.07843,14.34,6,14.901961,82,11.737987,8.423917727,48.22001667,19.4,157,0.725188,0.8752142038785934,4.491333,0.041532,,10006,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3360,1,77,246.852457,41.568626,89,110,1220.5,77,10,20.66,79.60784,14.26,8,14.901961,87,83.48419,7.247382275,48.24756804,263.4,422,1.88549,0.27188712017814887,2.719953,-0.024489,71.942696,5781,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3361,1,76,246.908086,48.627453,89,108,1203.5,76,10,19.22,80.0,14.24,8,14.901961,86,78.949,7.281498275,48.24714204,273.5,434,1.595415,0.27399462989874185,2.934763,-0.021499,77.62441,5799,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3362,1,77,246.852457,37.64706,88,108,1213.5,77,9,19.58,80.0,14.14,6,14.901961,84,78.84052,8.813277359,49.09947875,16.5,136,1.595415,0.7691747476620452,2.544719,0.146704,67.30777,9096,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00713F1,Truck_0501X1
3363,1,25,249.745165,12.941176,89,109,767.0,25,15,11.24,79.60784,14.14,7,14.901961,84,0.0,9.143837771,48.19204373,0.0,317,1.740453,0.21278268557716537,0.0,-0.030452,25.46477,5069,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00813F1,Truck_0391X1
3364,1,26,249.689536,35.686275,87,118,1123.5,26,15,17.49,58.039215,14.32,6,14.901961,83,26.064098,7.698834763,48.69582034,10.7,140,3.045792,0.879911350853799,6.616992,0.044877,175.01932,10165,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0641X1
3365,1,73,247.074973,40.39216,87,109,1369.0,73,8,23.47,80.0,14.22,6,14.901961,83,74.808556,8.715423359,48.70236875,351.4,144,1.740453,0.7741492075259657,3.321798,-0.017078,87.861496,9138,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00713F1,Truck_0681X1
3366,1,47,248.521327,73.725494,89,117,1168.0,47,11,21.38,80.0,14.16,7,34.901962,87,50.79727,7.848229859,48.00072104,308.4,388,2.900755,0.23146642111653767,4.921935,-0.08219,130.18509,5253,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00213F1,Truck_0621X1
3367,1,83,246.518683,39.607845,89,106,1313.0,83,10,21.22,79.60784,14.16,8,14.901961,86,85.10411,7.428288763,48.62572834,292.4,555,1.30534,0.34025683028695713,2.467628,-0.050443,65.268715,6300,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0351X1
3368,1,94,245.906764,44.313725,89,110,1179.5,94,10,19.24,78.039215,14.16,8,14.901961,86,96.87606,7.414926275,48.28509804,304.5,348,1.88549,0.28409104801356805,2.094825,-0.059491,55.40807,5872,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3369,0,105,245.294845,86.66667,89,153,1343.5,105,8,31.61,80.0,14.12,7,38.431374,86,105.192,8.613213675,47.07062154,249.9,346,8.122112,0.5415433414684891,7.693413,0.009116,203.49065,7464,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00613F1,Truck_0801X1
3370,1,99,245.628619,72.15686,91,120,1221.0,99,9,20.05,75.29412,14.14,8,33.333332,85,100.98144,7.498530275,48.32151804,291.8,412,3.335867,0.2908369100554949,3.636791,0.023551,96.193054,5916,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00313F1,Truck_0751X1
3371,1,37,249.077617,14.117647,88,116,1163.5,37,14,20.8,63.92157,14.14,7,29.019608,84,39.744,7.703910763,48.67436434,6.2,148,2.755716,0.8821390086436671,1.919211,0.060845,50.763107,10200,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0641X1
3372,1,20,250.02331,47.45098,87,116,1054.0,20,16,16.61,53.72549,14.3,6,14.901961,83,22.788452,8.439421727,48.25229667,17.8,145,2.755716,0.8785067044953971,9.637688,0.02769,254.91666,10128,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3373,1,15,250.301455,23.529411,87,107,832.0,15,11,10.72,69.01961,14.24,5,23.529411,84,15.995712,8.395681727,48.17852067,28.9,149,1.450378,0.8707285243286761,2.439891,-0.013978,64.53508,9792,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
3374,1,79,246.741199,17.254902,88,114,1231.5,79,10,20.99,78.82353,14.22,8,14.901961,86,84.81692,7.337820763,48.58467634,309.3,561,2.465641,0.3476974245155397,1.114184,-0.046624,29.470139,6355,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0351X1
3375,1,16,250.245826,14.117647,85,107,729.0,16,13,10.19,61.960785,14.24,7,14.901961,81,14.472179,8.232541075,48.84316752,29.6,123,1.450378,0.7578079897385703,2.233044,0.064058,59.063972,8896,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00913F1,Truck_0281X1
3376,1,72,247.130602,34.11765,91,108,1118.0,72,14,18.36,80.0,14.22,7,36.47059,87,0.0,8.267995727,48.16945467,0.0,317,1.595415,0.21623110006332652,0.0,-0.035996,0.0,5117,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0631X1
3377,1,97,245.739877,27.058825,90,108,1197.5,97,10,19.16,79.60784,14.24,8,14.901961,87,102.636024,7.459260763,48.63201634,286.8,549,1.595415,0.338016321828061,1.288157,-0.030912,34.07173,6284,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_00413F1,Truck_0351X1
3378,1,25,249.745165,13.725491,87,108,730.5,25,17,10.19,52.156864,14.16,6,14.901961,83,26.928024,8.436271727,48.24534267,17.0,159,1.595415,0.8778445538722507,1.301918,-0.053475,34.4357,10108,0,0,0,0,0,0,0,1,123,12,1,1,1,1,Fleet_01113F1,Truck_0381X1
